Date,Actual Price,Discount Price
2024-04-29,51000,51000
2024-04-30,51000,51000
2024-05-01,51000,51000
2024-05-04,51000,51000
2024-05-05,51000,50999
2024-05-07,51000,50999
2024-05-09,51000,50999
2024-05-11,51000,50999
2024-05-13,51000,51000
2024-05-14,51000,51000
2024-05-14,51000,51000
2024-05-16,51000,51000
2024-05-16,51000,51000
2024-05-17,51000,51000
2024-05-17,51000,51000
2024-05-18,51000,51000
2024-05-18,51000,51000
2024-05-29,51000,51000
2024-05-31,54999,54999
2024-06-01,54999,54999
2024-06-03,54999,54999
2024-06-04,54999,54999
2024-06-15,54999,54999
2024-06-19,54999,54999
